id,nombre
1,"COOMEVA EPS"
2,"FAMISANAR EPS"
3,"MEDIMAS E.P.S"
4,SALUDCOOP
5,"SALUD TOTAL EPS"
6,ALIANSALUD
7,"SANITAS EPS"
8,"CRUZ BLANCA EPS"
9,"NUEVA E.P.S"
10,COMPENSAR
11,"SURA EPS"
12,"S.O.S. EPS"
14,HUMANAVIVIR
15,"SOLSALUD EPS"
16,"COMFENALCO VALLE EPS"
17,FIDUPREVISORA
18,SISBEN
19,"SALUD VIDA EPS"
20,CAPRECOM
21,"NUEVA E.P.S"
22,"SANIDAD MILITAR"
23,"ASMET SALUD"
24,"MUTUAL SER"
25,"SAVIA SALUD"
26,ECOSALUD
27,"MUTUAL SALUD"
28,N/A
29,"COOSALUD EPS"
30,"COOPERATIVA DE SALUD COMUNITARIA COMPARTA"
31,"EMSSANAR E.P.S"
32,COMFACOR
33,"MEDIMAS E.P.S. MOVILIDAD"
34,FOSYGA
35,EMDISALUD
36,"EPS CAJA DE COMPENSACION FLIAR DE NARIÑO"
37,CONFAMA
38,"CAJA COPI"
39,"ASOCIACION BARRIOS UNIDOS DE QUIBDO E.S.S. AMBUQ"
40,"COOLSALUD "
41,COMPARTA
42,A.I.C.
43,"EMDISALUD E.S.S."
44,"AMBUQ ESS"
45,"BARRIOS UNIDOS"
46,"SALUD MIA E.P.S"
47,"COMFAORIENTE "
48,IESS
49,"MALLAMAS EPSI -CM"
50,"CAPITAL SALUD"
51,"PIJAOS SALUD EPSI"
